class,t0,hour_mean_w_pergpu,n_gpus,r_1min,r_1min_node,r_5min,r_5min_node,r_15min,r_15min_node
training (LoRA),2025-09-19 20:40:00,624.1534783485371,4,0.9027738498113234,0.9028277951548692,0.9776586262053286,0.9776686785806726,0.9826414211644008,0.9826458398470146
training (LoRA),2025-09-19 20:50:00,621.6383889615084,4,0.9064267888683832,0.9064805499496653,0.9660510065256442,0.9660566282238906,0.9866179719838092,0.9866215308064095
training (LoRA),2025-09-19 21:00:00,620.0966667408355,4,0.9086287750455,0.9087342972787883,0.9684540535735862,0.9684584972389092,0.9890722387733241,0.9890745295387414
training (LoRA),2025-09-19 20:40:00,622.4494957299432,4,0.9035068448365119,0.9041072523858122,0.9784895534532319,0.978490512477399,0.9829325577823227,0.982933101102451
training (LoRA),2025-09-19 20:50:00,620.0125536608434,4,0.9070574068977267,0.9076608207535948,0.9667234895075829,0.9667232096008402,0.9867960773189932,0.9867964922725878
training (LoRA),2025-09-19 21:00:00,618.5802828808278,4,0.909157630019552,0.9097624332810359,0.9689625300337786,0.9689615761375586,0.9890816509080025,0.989081336812284
training (LoRA),2025-09-19 21:50:00,593.4108854989431,4,0.1331065172391997,0.13310746583331312,0.45169254971637063,0.45169201591921876,1.0302032953266806,1.0302028936188579
training (LoRA),2025-09-19 22:00:00,620.6586386911054,4,0.8847338582339571,0.8847306177697817,0.9568520123841814,0.9568512557609091,0.9849759517808582,0.9849755940482344
training (LoRA),2025-09-19 22:10:00,618.8249081465206,4,0.8873556544904823,0.8873522923924032,0.9596875426020988,0.9596866415884907,0.9878948894485471,0.987894319213785
training (LoRA),2025-09-19 22:20:00,618.6713096873783,4,0.8875757402936146,0.8875725966843488,0.9599257242139059,0.9599249044384067,0.961426617437051,0.9614263747942552
training (LoRA),2025-09-19 21:50:00,594.3163800979247,4,0.13380395144244234,0.13383091173917855,0.45207556249121617,0.45210147370492004,1.0296648631235517,1.0296685230599527
training (LoRA),2025-09-19 22:00:00,621.4750034357091,4,0.8843762778782844,0.8844059524021574,0.9564093976387282,0.9564175209356883,0.9846671654039357,0.984671734088615
training (LoRA),2025-09-19 22:10:00,619.5497547849552,4,0.8871239661140498,0.8871542407412787,0.9593814664497122,0.9593895849668943,0.9877271396899384,0.9877315979863057
training (LoRA),2025-09-19 22:20:00,619.411644689256,4,0.8873215781660921,0.8873520493523037,0.9595949794256476,0.9596034998787766,0.9617972883997864,0.9617995216605925
training (LoRA),2025-09-19 22:10:00,622.8445800561797,4,0.9021264632351745,0.9023464769482406,0.977344956756056,0.9776923074205653,0.978474445106302,0.9784804099399502
training (LoRA),2025-09-19 22:20:00,619.88702757537,4,0.8951301748840497,0.895151067205498,0.959730243523351,0.9597401647484741,0.9831447270211697,0.983148852793418
