day,gh_share_delay_ge1h,null_delay_gh_share,median_delay_s
0,0.11374880801081326,0.0077772471769769515,14.0
1,0.3482980175321844,0.030084078256485784,32.0
2,0.16887036032151181,0.0,26.0
3,0.06642675863594702,0.0,45.0
4,0.010425311103180354,0.005008270753468985,0.0
5,0.13940936074000765,0.018337814036430786,87.0
6,0.09114846434057469,0.0,2.0
7,0.08872214195410447,0.016676694017304046,2.0
8,0.1367285791466783,0.01585902763053751,59.0
9,0.0,0.0,1.0
10,0.0,0.0,0.0
11,0.05241068722219142,0.01319514625484163,1.0
12,0.03659397607220277,0.0,1.0
13,0.052919247106568784,0.006586747086594352,41.0
14,0.05194194213856011,0.010037626967976217,12.5
15,0.06800073987596653,0.007561408164422804,0.0
16,0.0,0.0,1.0
17,0.14005655732400957,0.0,1.0
18,0.0,0.009814284658770085,1.0
19,0.061655299388514176,0.0036490780764161933,11.5
20,0.023090451236624197,0.0022200425405533874,13.0
21,0.05291363299923867,0.04208532572206619,0.0
22,0.028139441644483374,0.002307843975491788,2.0
23,0.036325681400213354,0.0,28.0
24,0.055606244470284866,0.0,0.0
25,0.023212889326251214,0.03113507287452645,1.0
26,0.10946994578091229,0.023665221305452438,12.0
27,0.08333307366254494,0.006028183440349051,44.0
28,0.11944718419836854,0.0,50.5
29,0.0869102122900872,0.0048281579652846695,29.5
30,0.016744044592624616,0.0,41.0
31,0.042361551607305974,0.00633745150931754,15.0
32,0.11563521911035426,0.002199399672522835,13.0
33,0.22065090715198687,0.0,26.0
34,0.11202508014986821,0.012431966631826483,27.0
35,0.11398193270128415,0.0056950225135169105,15.0
36,0.03717675586453089,0.013009909259605733,1.0
37,0.07403055685045491,0.005528061589040437,1.0
38,0.17447330899254154,0.0,5.5
39,0.16059076774114867,0.00954037738746463,42.5
40,0.10693251306605996,0.009553003542971276,3.0
41,0.1335515448050939,0.013830137530963202,2.0
42,0.03780864867282557,0.006227079899973071,11.0
43,0.1430883947248411,0.002298740642265474,43.0
44,0.07472377346049007,0.021551448033710965,1.0
45,0.09506635661678939,0.023411163753445537,15.0
46,0.12942100803324436,0.008440108315297993,41.0
47,0.06209187839347706,0.0023211597964208843,1.0
48,0.08521834839581154,0.005539044981031341,14.0
49,0.03527499317921864,0.004923480247330275,1.0
50,0.0570843455370589,0.00939399283362226,26.0
51,0.25163975576984926,0.006548848993446084,125.0
52,0.04581608972733929,0.01440294860500717,13.0
53,0.09396628843783034,0.0020963682530512127,2.0
54,0.0981422429413147,0.010167059581391809,2.5
55,0.03761983162891371,0.016047930691653094,1.0
56,0.019786027563895914,0.015577953746170228,1.0
57,0.05099948289870381,0.015975422474333537,10.0
58,0.05092913581234055,0.023855839231750792,41.0
59,0.017776246996328376,0.004396495536191773,15.0
60,0.01953521312225621,0.01249561093434334,1.0
61,0.0645912922030706,0.01059692959467729,27.0
62,0.07141454700720225,0.0033813356028509476,58.0
63,0.032410639382492314,0.01356035955787914,31.5
64,0.07198258422849049,0.021900733031817998,2.0
65,0.07568087900526829,0.01992205610672788,12.5
66,0.045902583686567675,0.020423539655242927,27.0
67,0.03797649694040774,0.014881644085649418,28.0
68,0.20183541995173093,0.0022653838748397863,4.0
69,0.09800989844089197,0.009794503350417247,26.0
70,0.04602913973784268,0.0064403034694360045,4.0
71,0.05317129971112701,0.011382150469065986,27.0
72,0.045862223240524407,0.01562820316976394,3.0
73,0.004545555521161937,0.00487894513748169,1.5
74,0.019672206379491405,0.009252580464414796,3.0
75,0.0978904613920329,0.010244416119840042,14.0
76,0.024496280293567835,0.006794774608768468,1.0
77,0.050849089521764305,0.009340084288610655,1.0
78,0.07033690870354022,0.007088453333558351,2.0
79,0.05425090137051619,0.009063714249410831,1.0
80,0.08794543479795043,0.00044447694313937803,1.0
81,0.040264928262878766,0.008185023711196622,1.0
82,0.05268574108108066,0.013319327160863734,1.0
83,0.06703369185018453,0.03158641028983284,1.0
84,0.12295544273378518,0.00634474551624299,1.0
85,0.02991258173957228,0.003364631696876472,0.0
86,0.1471262078848262,0.004626702918229331,0.0
87,0.020024126737959676,0.012303213134980317,1.0
88,0.05772968398109212,0.02237278127431422,1.0
89,0.05530924987561517,0.011899589993374869,1.0
90,0.042180972721165985,0.0018659088149092615,1.0
91,0.08268360553992185,0.005863058433353795,2.0
92,0.03449149245367601,0.005053353855723586,2.0
93,0.018433265893489526,0.0025582224008503527,1.0
94,0.03664187726107462,0.00832009934861735,1.0
95,0.057965423169114495,0.007906194037015864,2.0
96,0.08578759107570334,0.006189110598820085,12.0
97,0.14949417682021887,0.01205057951745728,43.0
98,0.17920825674726223,0.00716536043829138,16.0
99,0.09286724603587039,0.008175767217314115,3.0
100,0.19190759922521947,0.024988327600113765,1.0
101,0.17369121521825234,0.007124190514669427,1.0
102,0.08852176469620189,0.015105993697325149,29.0
103,0.15896303640788553,0.008051659776968749,29.0
104,0.04360308059659706,0.018183022114807764,15.0
105,0.07180588881339935,0.009396560408122916,43.0
106,0.07624152361200562,0.007699385396234874,42.0
107,0.02131663675850037,0.010636810722506542,29.0
108,0.07618326041403777,0.0038260401022707376,1.0
109,0.09617271952217431,0.007449343823326653,0.0
110,0.046230314663031166,0.014042936602656781,5.0
111,0.06490666273048643,0.00989955940376054,1.0
112,0.06729163888333584,0.008665134096877695,2.0
113,0.04461592257213398,0.013159505968330229,1.0
114,0.04358232950378989,0.00776746667059957,0.0
115,0.03327290607647984,0.012487099029131756,0.0
116,0.03842889032902711,0.017237739430289646,0.0
117,0.055715896148326956,0.019179461120357167,0.0
118,0.0870908281834053,0.015072652448309487,0.0
119,0.06670584723789079,0.015088938643488953,0.0
120,0.062383903659263946,0.007945699472584009,0.0
121,0.0446882052162623,0.014326481941191514,0.0
122,0.04145291262877557,0.017554938350283003,1.0
123,0.056818880848997375,0.008425382119019338,0.0
124,0.07514644301435208,0.00604986523148861,1.0
125,0.056943197144627596,0.006627009586456861,1.0
126,0.04723725580476594,0.007221824821262407,1.0
127,0.08375240458923308,0.008044621609754669,1.0
128,0.037690753208688366,0.00875365653106632,1.0
129,0.041950278273943396,0.018155053725534897,1.0
130,0.0465467607524109,0.005731793500720343,0.0
131,0.09255961695678054,0.008344923667656956,1.0
132,0.07371144557602702,0.006202021371681783,1.0
133,0.04174475765519756,0.009025813480103168,1.0
134,0.023665543822147365,0.010996536415401712,1.0
135,0.03216561506961302,0.020902485180159285,1.0
136,0.034200611331587076,0.015372394066980492,0.0
137,0.04581896704813853,0.011582740584475835,0.0
138,0.05364536103635265,0.01511889781225844,0.0
