training_fraction,offline_fraction,hours,coverage,shift_envelope_mw,deferred_active_mwh,extra_energy_fraction,recovery_active_mwh,external_recovery_headroom_mw,recovery_time_lower_bound_h,net_active_energy_saved_mwh
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.0,1.541459316241541,0.5,3.082918632483082,0.0
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.0,1.541459316241541,1.0,1.541459316241541,0.0
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.0,1.541459316241541,2.0,0.7707296581207705,0.0
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.0,1.541459316241541,5.0,0.3082918632483082,0.0
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.05,1.6185322820536183,0.5,3.2370645641072366,-0.07707296581207707
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.05,1.6185322820536183,1.0,1.6185322820536183,-0.07707296581207707
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.05,1.6185322820536183,2.0,0.8092661410268092,-0.07707296581207707
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.05,1.6185322820536183,5.0,0.32370645641072365,-0.07707296581207707
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.1,1.6956052478656953,0.5,3.3912104957313907,-0.15414593162415413
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.1,1.6956052478656953,1.0,1.6956052478656953,-0.15414593162415413
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.1,1.6956052478656953,2.0,0.8478026239328477,-0.15414593162415413
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.1,1.6956052478656953,5.0,0.33912104957313904,-0.15414593162415413
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.25,1.9268241453019264,0.5,3.8536482906038527,-0.38536482906038527
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.25,1.9268241453019264,1.0,1.9268241453019264,-0.38536482906038527
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.25,1.9268241453019264,2.0,0.9634120726509632,-0.38536482906038527
0.25,0.25,1,0.95,1.541459316241541,1.541459316241541,0.25,1.9268241453019264,5.0,0.38536482906038527,-0.38536482906038527
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.0,6.0628257154707335,0.5,12.125651430941467,0.0
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.0,6.0628257154707335,1.0,6.0628257154707335,0.0
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.0,6.0628257154707335,2.0,3.0314128577353667,0.0
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.0,6.0628257154707335,5.0,1.2125651430941466,0.0
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.05,6.365967001244271,0.5,12.731934002488542,-0.3031412857735367
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.05,6.365967001244271,1.0,6.365967001244271,-0.3031412857735367
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.05,6.365967001244271,2.0,3.1829835006221354,-0.3031412857735367
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.05,6.365967001244271,5.0,1.273193400248854,-0.3031412857735367
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.1,6.669108287017807,0.5,13.338216574035615,-0.6062825715470734
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.1,6.669108287017807,1.0,6.669108287017807,-0.6062825715470734
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.1,6.669108287017807,2.0,3.3345541435089037,-0.6062825715470734
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.1,6.669108287017807,5.0,1.3338216574035615,-0.6062825715470734
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.25,7.578532144338417,0.5,15.157064288676834,-1.5157064288676834
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.25,7.578532144338417,1.0,7.578532144338417,-1.5157064288676834
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.25,7.578532144338417,2.0,3.7892660721692084,-1.5157064288676834
0.25,0.25,4,0.95,1.5157064288676834,6.0628257154707335,0.25,7.578532144338417,5.0,1.5157064288676834,-1.5157064288676834
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.0,34.8367981873651,0.5,69.6735963747302,0.0
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.0,34.8367981873651,1.0,34.8367981873651,0.0
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.0,34.8367981873651,2.0,17.41839909368255,0.0
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.0,34.8367981873651,5.0,6.967359637473019,0.0
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.05,36.57863809673336,0.5,73.15727619346671,-1.741839909368255
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.05,36.57863809673336,1.0,36.57863809673336,-1.741839909368255
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.05,36.57863809673336,2.0,18.28931904836668,-1.741839909368255
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.05,36.57863809673336,5.0,7.315727619346672,-1.741839909368255
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.1,38.32047800610161,0.5,76.64095601220322,-3.48367981873651
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.1,38.32047800610161,1.0,38.32047800610161,-3.48367981873651
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.1,38.32047800610161,2.0,19.160239003050805,-3.48367981873651
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.1,38.32047800610161,5.0,7.664095601220322,-3.48367981873651
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.25,43.545997734206374,0.5,87.09199546841275,-8.709199546841274
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.25,43.545997734206374,1.0,43.545997734206374,-8.709199546841274
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.25,43.545997734206374,2.0,21.772998867103187,-8.709199546841274
0.25,0.25,24,0.95,1.4515332578068791,34.8367981873651,0.25,43.545997734206374,5.0,8.709199546841274,-8.709199546841274
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.0,3.082918632483082,0.5,6.165837264966164,0.0
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.0,3.082918632483082,1.0,3.082918632483082,0.0
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.0,3.082918632483082,2.0,1.541459316241541,0.0
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.0,3.082918632483082,5.0,0.6165837264966164,0.0
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.05,3.2370645641072366,0.5,6.474129128214473,-0.15414593162415413
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.05,3.2370645641072366,1.0,3.2370645641072366,-0.15414593162415413
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.05,3.2370645641072366,2.0,1.6185322820536183,-0.15414593162415413
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.05,3.2370645641072366,5.0,0.6474129128214473,-0.15414593162415413
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.1,3.3912104957313907,0.5,6.782420991462781,-0.30829186324830826
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.1,3.3912104957313907,1.0,3.3912104957313907,-0.30829186324830826
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.1,3.3912104957313907,2.0,1.6956052478656953,-0.30829186324830826
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.1,3.3912104957313907,5.0,0.6782420991462781,-0.30829186324830826
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.25,3.8536482906038527,0.5,7.707296581207705,-0.7707296581207705
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.25,3.8536482906038527,1.0,3.8536482906038527,-0.7707296581207705
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.25,3.8536482906038527,2.0,1.9268241453019264,-0.7707296581207705
0.5,0.5,1,0.95,3.082918632483082,3.082918632483082,0.25,3.8536482906038527,5.0,0.7707296581207705,-0.7707296581207705
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.0,12.125651430941467,0.5,24.251302861882934,0.0
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.0,12.125651430941467,1.0,12.125651430941467,0.0
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.0,12.125651430941467,2.0,6.0628257154707335,0.0
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.0,12.125651430941467,5.0,2.4251302861882933,0.0
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.05,12.731934002488542,0.5,25.463868004977083,-0.6062825715470734
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.05,12.731934002488542,1.0,12.731934002488542,-0.6062825715470734
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.05,12.731934002488542,2.0,6.365967001244271,-0.6062825715470734
