dataset,mask,residual,block_hours,,R,rho_weighted
ASI_allocated_GPU,full,calendar,168,0.05,1.0500771289882858,0.07648094146623394
ASI_allocated_GPU,full,calendar,168,0.5,1.2258982231925488,0.368357399264021
ASI_allocated_GPU,full,calendar,168,0.95,1.4730649171877312,0.609836691388393
ASI_allocated_GPU,full,calendar,336,0.05,1.0500771289882858,0.07648094146623394
ASI_allocated_GPU,full,calendar,336,0.5,1.2258982231925488,0.368357399264021
ASI_allocated_GPU,full,calendar,336,0.95,1.4730649171877312,0.609836691388393
ASI_allocated_GPU,full,raw,168,0.05,1.1575728820709839,0.23474529685899367
ASI_allocated_GPU,full,raw,168,0.5,1.3472656707212731,0.46616884529461944
ASI_allocated_GPU,full,raw,168,0.95,1.583189094994959,0.8039528789731741
ASI_allocated_GPU,full,raw,336,0.05,1.1575728820709839,0.23474529685899367
ASI_allocated_GPU,full,raw,336,0.5,1.3472656707212731,0.46616884529461944
ASI_allocated_GPU,full,raw,336,0.95,1.583189094994959,0.8039528789731741
ASI_allocated_GPU,low_allocation,calendar,168,0.05,1.0526188591156518,0.08036744154896577
ASI_allocated_GPU,low_allocation,calendar,168,0.5,1.2572929533826194,0.3960722575603613
ASI_allocated_GPU,low_allocation,calendar,168,0.95,1.478050937631583,0.6151724723289722
ASI_allocated_GPU,low_allocation,calendar,336,0.05,1.0526188591156518,0.08036744154896577
ASI_allocated_GPU,low_allocation,calendar,336,0.5,1.2572929533826194,0.3960722575603613
ASI_allocated_GPU,low_allocation,calendar,336,0.95,1.478050937631583,0.6151724723289722
ASI_allocated_GPU,low_allocation,raw,168,0.05,1.179420560112705,0.26239969572573196
ASI_allocated_GPU,low_allocation,raw,168,0.5,1.3701435687326433,0.48815900978324106
ASI_allocated_GPU,low_allocation,raw,168,0.95,1.5870531492627944,0.7985806651967902
ASI_allocated_GPU,low_allocation,raw,336,0.05,1.179420560112705,0.26239969572573196
ASI_allocated_GPU,low_allocation,raw,336,0.5,1.3701435687326433,0.48815900978324106
ASI_allocated_GPU,low_allocation,raw,336,0.95,1.5870531492627944,0.7985806651967902
ASI_allocated_GPU,trim,calendar,168,0.05,1.0425561472941944,0.07251582209547146
ASI_allocated_GPU,trim,calendar,168,0.5,1.22469747329691,0.3582349817564223
ASI_allocated_GPU,trim,calendar,168,0.95,1.4724336121989228,0.6228732604759196
ASI_allocated_GPU,trim,calendar,336,0.05,1.0425561472941944,0.07251582209547146
ASI_allocated_GPU,trim,calendar,336,0.5,1.22469747329691,0.3582349817564223
ASI_allocated_GPU,trim,calendar,336,0.95,1.4724336121989228,0.6228732604759196
ASI_allocated_GPU,trim,raw,168,0.05,1.1506058069247427,0.22462781501574366
ASI_allocated_GPU,trim,raw,168,0.5,1.3404829088888799,0.46700076757098735
ASI_allocated_GPU,trim,raw,168,0.95,1.5941687777712108,0.8220900225814787
ASI_allocated_GPU,trim,raw,336,0.05,1.1506058069247427,0.22462781501574366
ASI_allocated_GPU,trim,raw,336,0.5,1.3404829088888799,0.46700076757098735
ASI_allocated_GPU,trim,raw,336,0.95,1.5941687777712108,0.8220900225814787
ASI_allocated_GPU,trim_low_allocation,calendar,168,0.05,1.047587724717811,0.07504002422580655
ASI_allocated_GPU,trim_low_allocation,calendar,168,0.5,1.2534833303234727,0.39517186865546067
ASI_allocated_GPU,trim_low_allocation,calendar,168,0.95,1.478183496691817,0.6295050692673065
ASI_allocated_GPU,trim_low_allocation,calendar,336,0.05,1.047587724717811,0.07504002422580655
ASI_allocated_GPU,trim_low_allocation,calendar,336,0.5,1.2534833303234727,0.39517186865546067
ASI_allocated_GPU,trim_low_allocation,calendar,336,0.95,1.478183496691817,0.6295050692673065
ASI_allocated_GPU,trim_low_allocation,raw,168,0.05,1.1690488425339478,0.25798324968725056
ASI_allocated_GPU,trim_low_allocation,raw,168,0.5,1.3672502843906675,0.49097663796775964
ASI_allocated_GPU,trim_low_allocation,raw,168,0.95,1.597680045470849,0.8180272089801665
ASI_allocated_GPU,trim_low_allocation,raw,336,0.05,1.1690488425339478,0.25798324968725056
ASI_allocated_GPU,trim_low_allocation,raw,336,0.5,1.3672502843906675,0.49097663796775964
ASI_allocated_GPU,trim_low_allocation,raw,336,0.95,1.597680045470849,0.8180272089801665
ASI_modeled_workload_MW,full,calendar,168,0.05,1.0901614138140798,0.13496262967029074
ASI_modeled_workload_MW,full,calendar,168,0.5,1.2300402407477855,0.3269987524656048
ASI_modeled_workload_MW,full,calendar,168,0.95,1.4344011461407637,0.5975731010921841
ASI_modeled_workload_MW,full,calendar,336,0.05,1.0901614138140798,0.13496262967029074
ASI_modeled_workload_MW,full,calendar,336,0.5,1.2300402407477855,0.3269987524656048
ASI_modeled_workload_MW,full,calendar,336,0.95,1.4344011461407637,0.5975731010921841
ASI_modeled_workload_MW,full,raw,168,0.05,1.1369455496537493,0.22627769451280486
ASI_modeled_workload_MW,full,raw,168,0.5,1.2764802569096243,0.37916863381594174
ASI_modeled_workload_MW,full,raw,168,0.95,1.4637026505756805,0.6332276993872482
ASI_modeled_workload_MW,full,raw,336,0.05,1.1369455496537493,0.22627769451280486
ASI_modeled_workload_MW,full,raw,336,0.5,1.2764802569096243,0.37916863381594174
ASI_modeled_workload_MW,full,raw,336,0.95,1.4637026505756805,0.6332276993872482
ASI_modeled_workload_MW,low_allocation,calendar,168,0.05,1.0992143234177414,0.14993832070122265
ASI_modeled_workload_MW,low_allocation,calendar,168,0.5,1.2475873698194995,0.3538598052919423
ASI_modeled_workload_MW,low_allocation,calendar,168,0.95,1.437610672273498,0.6013657718250365
ASI_modeled_workload_MW,low_allocation,calendar,336,0.05,1.0992143234177414,0.14993832070122265
ASI_modeled_workload_MW,low_allocation,calendar,336,0.5,1.2475873698194995,0.3538598052919423
ASI_modeled_workload_MW,low_allocation,calendar,336,0.95,1.437610672273498,0.6013657718250365
ASI_modeled_workload_MW,low_allocation,raw,168,0.05,1.142767598979681,0.24488084079143085
ASI_modeled_workload_MW,low_allocation,raw,168,0.5,1.294902237658701,0.4266608053182412
ASI_modeled_workload_MW,low_allocation,raw,168,0.95,1.470672297413621,0.6398491522100064
ASI_modeled_workload_MW,low_allocation,raw,336,0.05,1.142767598979681,0.24488084079143085
ASI_modeled_workload_MW,low_allocation,raw,336,0.5,1.294902237658701,0.4266608053182412
ASI_modeled_workload_MW,low_allocation,raw,336,0.95,1.470672297413621,0.6398491522100064
