tier,margin,scenario,budget_pct,p5,p50,p95
facility_marginal_linear_k0.1,0.0,full,0.25,918.5045506119422,936.7888964970916,963.453338549698
facility_marginal_linear_k0.1,0.0,full,0.5,1354.9999999850115,1372.474893423714,1395.435850130525
facility_marginal_linear_k0.1,0.0,full,1.0,2099.2981386643805,2122.328189389009,2157.2070484289725
facility_marginal_linear_k0.1,0.0,full,2.0,3058.7971856684817,3090.665967984023,3135.7658765609813
facility_marginal_linear_k0.1,0.0,const20,0.25,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,const20,0.5,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,const20,1.0,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,const20,2.0,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,constM,0.25,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,constM,0.5,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,constM,1.0,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,constM,2.0,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,measured,0.25,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,measured,0.5,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,measured,1.0,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,measured,2.0,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,measured_attributed,0.25,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,measured_attributed,0.5,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,measured_attributed,1.0,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.0,measured_attributed,2.0,0.0,0.0,0.0
facility_marginal_linear_k0.1,0.02,full,0.25,1584.654118933031,1606.3950568877772,1653.433956277695
facility_marginal_linear_k0.1,0.02,full,0.5,2015.58009256496,2042.9080569283542,2078.5972060148197
facility_marginal_linear_k0.1,0.02,full,1.0,2763.6069017999034,2793.9766620238515,2838.392942883729
facility_marginal_linear_k0.1,0.02,full,2.0,3725.682338226761,3763.6726607615856,3815.594657150541
facility_marginal_linear_k0.1,0.02,const20,0.25,816.8941389330939,842.1380400886846,892.9949853663855
facility_marginal_linear_k0.1,0.02,const20,0.5,816.8941389330939,842.1380400886846,892.9949853663855
facility_marginal_linear_k0.1,0.02,const20,1.0,816.8941389330939,842.1380400886846,892.9949853663855
facility_marginal_linear_k0.1,0.02,const20,2.0,816.8941389330939,842.1380400886846,892.9949853663855
facility_marginal_linear_k0.1,0.02,constM,0.25,706.0116928705611,727.8290722842939,771.7828679187731
facility_marginal_linear_k0.1,0.02,constM,0.5,706.0116928705611,727.8290722842939,771.7828679187731
facility_marginal_linear_k0.1,0.02,constM,1.0,706.0116928705611,727.8290722842939,771.7828679187731
facility_marginal_linear_k0.1,0.02,constM,2.0,706.0116928705611,727.8290722842939,771.7828679187731
facility_marginal_linear_k0.1,0.02,measured,0.25,700.9410327009391,730.1514029495593,773.3884910521738
facility_marginal_linear_k0.1,0.02,measured,0.5,700.9410327009391,730.1514029495593,773.3884910521738
facility_marginal_linear_k0.1,0.02,measured,1.0,700.9410327009391,730.1514029495593,773.3884910521738
facility_marginal_linear_k0.1,0.02,measured,2.0,700.9410327009391,730.1514029495593,773.3884910521738
facility_marginal_linear_k0.1,0.02,measured_attributed,0.25,734.0784645457461,772.8778126693214,825.859127451622
facility_marginal_linear_k0.1,0.02,measured_attributed,0.5,734.0784645457461,772.8778126693214,825.859127451622
facility_marginal_linear_k0.1,0.02,measured_attributed,1.0,734.0784645457461,772.8778126693214,825.859127451622
facility_marginal_linear_k0.1,0.02,measured_attributed,2.0,734.0784645457461,772.8778126693214,825.859127451622
facility_marginal_linear_k0.1,0.05,full,0.25,2579.77001960262,2612.3115066093305,2687.2068662341917
facility_marginal_linear_k0.1,0.05,full,0.5,3012.3673059897556,3053.6769656464458,3119.830398994054
facility_marginal_linear_k0.1,0.05,full,1.0,3760.057232170766,3802.3012350640784,3861.797462813229
facility_marginal_linear_k0.1,0.05,full,2.0,4731.719612490451,4773.945388842549,4846.0879487092825
facility_marginal_linear_k0.1,0.05,const20,0.25,2042.23534735047,2105.345100226259,2176.5581481122354
facility_marginal_linear_k0.1,0.05,const20,0.5,2042.23534735047,2105.345100226259,2176.5581481122354
facility_marginal_linear_k0.1,0.05,const20,1.0,2042.23534735047,2105.345100226259,2176.5581481122354
facility_marginal_linear_k0.1,0.05,const20,2.0,2042.23534735047,2105.345100226259,2176.5581481122354
facility_marginal_linear_k0.1,0.05,constM,0.25,1765.0292321677625,1819.5726807425672,1881.1195104899525
facility_marginal_linear_k0.1,0.05,constM,0.5,1765.0292321677625,1819.5726807425672,1881.1195104899525
facility_marginal_linear_k0.1,0.05,constM,1.0,1765.0292321677625,1819.5726807425672,1881.1195104899525
facility_marginal_linear_k0.1,0.05,constM,2.0,1765.0292321677625,1819.5726807425672,1881.1195104899525
facility_marginal_linear_k0.1,0.05,measured,0.25,1752.3525817432528,1821.98946871722,1879.7335325334643
facility_marginal_linear_k0.1,0.05,measured,0.5,1752.3525817432528,1821.98946871722,1879.7335325334643
facility_marginal_linear_k0.1,0.05,measured,1.0,1752.3525817432528,1821.98946871722,1879.7335325334643
facility_marginal_linear_k0.1,0.05,measured,2.0,1752.3525817432528,1821.98946871722,1879.7335325334643
facility_marginal_linear_k0.1,0.05,measured_attributed,0.25,1835.1961613561798,1920.3493071472622,2002.1170318486838
facility_marginal_linear_k0.1,0.05,measured_attributed,0.5,1835.1961613561798,1920.3493071472622,2002.1170318486838
facility_marginal_linear_k0.1,0.05,measured_attributed,1.0,1835.1961613561798,1920.3493071472622,2002.1170318486838
facility_marginal_linear_k0.1,0.05,measured_attributed,2.0,1835.1961613561798,1920.3493071472622,2002.1170318486838
facility_marginal_linear_k0.1,0.1,full,0.25,4233.465495179189,4289.277811330976,4404.664755729755
facility_marginal_linear_k0.1,0.1,full,0.5,4677.476929434306,4737.440437802434,4847.972140349157
facility_marginal_linear_k0.1,0.1,full,1.0,5420.9524831721865,5478.091924378532,5577.182039593936
facility_marginal_linear_k0.1,0.1,full,2.0,6405.768536855248,6458.4816821115965,6556.141916196793
facility_marginal_linear_k0.1,0.1,const20,0.25,4084.4706947182203,4184.8319402288325,4277.524702670235
facility_marginal_linear_k0.1,0.1,const20,0.5,4084.4706947182203,4184.8319402288325,4280.852764154588
facility_marginal_linear_k0.1,0.1,const20,1.0,4084.4706947182203,4184.8319402288325,4280.852764154588
facility_marginal_linear_k0.1,0.1,const20,2.0,4084.4706947182203,4184.8319402288325,4280.852764154588
facility_marginal_linear_k0.1,0.1,constM,0.25,3530.058464335525,3616.7970140013495,3699.784296204598
facility_marginal_linear_k0.1,0.1,constM,0.5,3530.058464335525,3616.7970140013495,3699.784296204598
