tier,margin,scenario,budget_pct,p5,p50,p95
facility_marginal_pue1.0,0.0,full,0.25,918.5045506119422,936.7888964970916,963.453338549698
facility_marginal_pue1.0,0.0,full,0.5,1354.9999999850115,1372.474893423714,1395.435850130525
facility_marginal_pue1.0,0.0,full,1.0,2099.2981386643805,2122.328189389009,2157.2070484289725
facility_marginal_pue1.0,0.0,full,2.0,3058.7971856684817,3090.665967984023,3135.7658765609813
facility_marginal_pue1.0,0.0,cap25,0.25,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,cap25,0.5,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,cap25,1.0,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,cap25,2.0,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,constM,0.25,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,constM,0.5,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,constM,1.0,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,constM,2.0,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,measured,0.25,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,measured,0.5,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,measured,1.0,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,measured,2.0,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,measured_attributed,0.25,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,measured_attributed,0.5,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,measured_attributed,1.0,0.0,0.0,0.0
facility_marginal_pue1.0,0.0,measured_attributed,2.0,0.0,0.0,0.0
facility_marginal_pue1.0,0.02,full,0.25,1584.654118933031,1606.3950568877772,1653.433956277695
facility_marginal_pue1.0,0.02,full,0.5,2015.58009256496,2042.9080569283542,2078.5972060148197
facility_marginal_pue1.0,0.02,full,1.0,2763.6069017999034,2793.9766620238515,2838.392942883729
facility_marginal_pue1.0,0.02,full,2.0,3725.682338226761,3763.6726607615856,3815.594657150541
facility_marginal_pue1.0,0.02,cap25,0.25,825.4930246039294,851.002651033923,902.3949325837747
facility_marginal_pue1.0,0.02,cap25,0.5,825.4930246039294,851.002651033923,902.3949325837747
facility_marginal_pue1.0,0.02,cap25,1.0,825.4930246039294,851.002651033923,902.3949325837747
facility_marginal_pue1.0,0.02,cap25,2.0,825.4930246039294,851.002651033923,902.3949325837747
facility_marginal_pue1.0,0.02,constM,0.25,701.0630683134877,722.7275238983566,766.3732356286345
facility_marginal_pue1.0,0.02,constM,0.5,701.0630683134877,722.7275238983566,766.3732356286345
facility_marginal_pue1.0,0.02,constM,1.0,701.0630683134877,722.7275238983566,766.3732356286345
facility_marginal_pue1.0,0.02,constM,2.0,701.0630683134877,722.7275238983566,766.3732356286345
facility_marginal_pue1.0,0.02,measured,0.25,696.6214762269374,724.442701357475,769.4415372316143
facility_marginal_pue1.0,0.02,measured,0.5,696.6214762269374,724.442701357475,769.4415372316143
facility_marginal_pue1.0,0.02,measured,1.0,696.6214762269374,724.442701357475,769.4415372316143
facility_marginal_pue1.0,0.02,measured,2.0,696.6214762269374,724.442701357475,769.4415372316143
facility_marginal_pue1.0,0.02,measured_attributed,0.25,726.4733347592482,763.2928586190246,816.8078131711809
facility_marginal_pue1.0,0.02,measured_attributed,0.5,726.4733347592482,763.2928586190246,816.8078131711809
facility_marginal_pue1.0,0.02,measured_attributed,1.0,726.4733347592482,763.2928586190246,816.8078131711809
facility_marginal_pue1.0,0.02,measured_attributed,2.0,726.4733347592482,763.2928586190246,816.8078131711809
facility_marginal_pue1.0,0.05,full,0.25,2579.77001960262,2612.3115066093305,2687.2068662341917
